"","x"
"1967",31
"1968",51
"1969",26
"1970",24
"1971",2
"1972",7
"1973",59
"1974",19
"1975",2
"1976",3
"1977",3
"1978",68
"1979",16
"1980",63
"1981",28
"1982",17
"1983",62
"1984",7
"1985",26
"1986",51
"1987",4
"1988",5
"1989",5
"1990",14
"1991",12
"1992",62
"1993",51
"1994",39
"1995",73
"1996",3
"1997",2
"1998",39
"1999",6
"2000",58
"2001",12
"2002",8
"2003",23
"2004",58
"2005",11
"2006",6
"2007",2
"2008",28
"2009",2
"2010",37
"2011",5
"2012",2
"2013",3
"2014",2
