"","x"
"1967",31
"1968",83
"1969",62
"1970",73
"1971",19
"1972",72
"1973",59
"1974",19
"1975",67
"1976",5
"1977",2
"1978",67
"1979",16
"1980",69
"1981",60
"1982",104
"1983",90
"1984",11
"1985",26
"1986",75
"1987",73
"1988",17
"1989",2
"1990",14
"1991",64
"1992",85
"1993",77
"1994",48
"1995",82
"1996",72
"1997",41
"1998",55
"1999",62
"2000",58
"2001",65
"2002",8
"2003",31
"2004",58
"2005",28
"2006",18
"2007",2
"2008",12
"2009",64
"2010",62
"2011",3
"2012",42
"2013",5
"2014",68
